id,ingredient_name,reading_kana,category,item_type
23,りんご,りんご,1,1
24,バナナ,ばなな,1,1
25,レモン,れもん,1,1
26,キャベツ,きゃべつ,1,1
27,なす,なす,1,1
28,ピーマン,ぴーまん,1,1
29,レタス,れたす,1,1
30,きゅうり,きゅうり,1,1
31,ブロッコリー,ぶろっこりー,1,1
32,トマト,とまと,1,1
33,ミニトマト,みにとまと,1,1
34,しいたけ,しいたけ,1,1
35,しめじ,しめじ,1,1
36,えのき,えのき,1,1
37,エリンギ,えりんぎ,1,1
38,ほうれんそう,ほうれんそう,1,1
39,こまつな,こまつな,1,1
40,みずな,みずな,1,1
41,はくさい,はくさい,1,1
42,白ねぎ,しろねぎ,1,1
43,だいこん,だいこん,1,1
44,玉ねぎ,たまねぎ,1,1
45,にんじん,にんじん,1,1
46,じゃがいも,じゃがいも,1,1
47,さといも,さといも,1,1
48,かぼちゃ,かぼちゃ,1,1
49,ごぼう,ごぼう,1,1
50,れんこん,れんこん,1,1
51,もやし,もやし,1,1
52,たけのこ水煮,たけのこみずに,1,1
53,鶏もも肉,とりももにく,2,1
54,鶏むね肉,とりむねにく,2,1
55,鶏ささみ,とりささみ,2,1
56,手羽先,てばさき,2,1
57,手羽もと,てばもと,2,1
58,鶏ミンチ,とりみんち,2,1
59,豚こま肉,ぶたこまにく,2,1
60,豚バラ肉,ぶたばらにく,2,1
61,豚ロース,ぶたろーす,2,1
62,豚ミンチ,ぶたみんち,2,1
63,牛こま肉,うしこまにく,2,1
64,合挽ミンチ,あいびきみんち,2,1
65,すじ肉,すじにく,2,1
66,ぎょうざの皮,ぎょうざのかわ,2,1
67,春巻きの皮,はるまきのかわ,2,1
68,さしみ,さしみ,2,1
69,まぐろ,まぐろ,2,1
70,さけ,さけ,2,1
71,ぶり,ぶり,2,1
72,あじ,あじ,2,1
73,さば,さば,2,1
74,あさり,あさり,2,1
75,たらこ・めんたいこ,たらこ・めんたいこ,2,1
76,干物,ひもの,2,1
77,生わかめ,なまわかめ,2,1
78,ハム,はむ,2,1
79,ウインナー,ういんなー,2,1
80,ベーコン,べーこん,2,1
81,小麦粉,こむぎこ,3,2
82,片栗粉,かたくりこ,3,2
83,おこのみやき粉,おこのみやきこ,3,2
84,たこやき粉,たこやきこ,3,2
85,のり,のり,3,2
86,ツナ缶,つなかん,3,1
87,黒ごま,くろごま,3,2
88,ひじき,ひじき,3,1
89,パン粉,ぱんこ,3,2
90,かつおぶし,かつおぶし,3,2
91,カレー粉,かれーこ,3,1
92,クリームシチュー粉,くりーむしちゅーこ,3,1
93,パスタ,ぱすた,3,1
94,パスタソース,ぱすたそーす,3,1
95,グラタンソース,ぐらたんそーす,3,1
96,乾麺,かんめん,3,1
97,しょうゆ,しょうゆ,3,2
98,みりん,みりん,3,2
99,料理酒,りょうりしゅ,3,2
100,酢,す,3,2
101,みそ,みそ,3,2
102,マヨネーズ,まよねーず,3,2
103,ケチャップ,けちゃっぷ,3,2
104,ソース,そーす,3,2
105,焼き肉のたれ,やきにくのたれ,3,2
106,砂糖,さとう,3,2
107,塩,しお,3,2
108,こしょう,こしょう,3,2
109,サラダ油,さらだあぶら,3,2
110,ごま油,ごまあぶら,3,2
111,豆腐,とうふ,4,1
112,うすあげ,うすあげ,4,1
113,あつあげ,あつあげ,4,1
114,なっとう,なっとう,4,1
115,こんにゃく,こんにゃく,4,1
116,ちくわ,ちくわ,4,1
117,かまぼこ,かまぼこ,4,1
118,かにかま,かにかま,4,1
119,たくあん,たくあん,4,1
120,キムチ,きむち,4,1
121,つくだに,つくだに,4,1
122,うどん,うどん,4,1
123,和そば,わそば,4,1
124,焼きそば,やきそば,4,1
125,中華めん,ちゅうかめん,4,1
126,冷やし中華めん,ひやしちゅうかめん,4,1
127,ピザ,ぴざ,4,1
128,たまご,たまご,4,1
129,牛乳,ぎゅうにゅう,4,1
130,チーズ,ちーず,4,1
131,バター,ばたー,4,2
132,マーガリン,まーがりん,4,2
133,ヨーグルト,よーぐると,4,1
134,米,こめ,5,1
135,もち,もち,5,1
136,パックごはん,ぱっくごはん,5,1
137,食パン,しょくぱん,5,1
138,ロールパン,ろーるぱん,5,1
139,菓子パン,かしぱん,5,1
140,冷凍シーフードミックス,れいとうしーふーどみっくす,6,1
141,冷凍ほうれん草,れいとうほうれんそう,6,1
142,冷凍ブロッコリー,れいとうぶろっこりー,6,1
143,冷凍えだまめ,れいとうえだまめ,6,1
144,冷凍コーン,れいとうこーん,6,1
145,冷凍ミックスベジタブル,れいとうみっくすべじたぶる,6,1
146,冷凍うどん,れいとううどん,6,1
147,冷凍ぎょうざ,れいとうぎょうざ,6,1
148,冷凍からあげ,れいとうからあげ,6,1
149,冷凍コロッケ,れいとうころっけ,6,1
150,冷凍チャーハン,れいとうちゃーはん,6,1
151,冷凍パスタ,れいとうぱすた,6,1
152,ジャム,じゃむ,7,2
153,ビール,びーる,7,2
154,チューハイ,ちゅーはい,7,2
155,ワイン,わいん,7,2
156,アルミホイル,あるみほいる,7,2
157,ラップ,らっぷ,7,2
158,キッチンペーパー,きっちんぺーぱー,7,2
159,乾電池,かんでんち,7,2
160,水,みずな,3,2
161,食器用洗剤,しょっきようせんざい,7,2
162,洗濯用洗剤,せんたくようせんざい,7,2
163,大葉,おおば,1,1
164,はちみつ,はちみつ,3,2
165,豚スペアリブ,ぶたすぺありぶ,2,1
166,たこ,たこ,2,1
167,いか,いか,2,1
168,もずく,もずく,2,1
169,わかめ,わかめ,2,1
170,たい,たいたい,2,1
171,めんつゆ,めんつゆ,3,2
172,切干だいこん,きりぼしだいこん,3,2
173,白だし,しろだし,3,2
174,紅しょうが,べにしょうが,4,2
175,天かす,てんかす,3,1
176,青のり,あおのり,3,2
177,かつお粉,かつおこ,3,2
178,ブラックペッパー,ぶらっくぺっぱー,3,2
179,和風だしの素,わふうだしのもと,3,2
180,青ねぎ,あおねぎ,1,1
181,ウスターソース,うすたーそーす,3,2
182,白ごま,しろごま,3,2
183,揚げ油,あげあぶら,3,2
184,鶏がらスープの素,とりがらすーぷのもと,3,2
185,にんにく,にんにく,3,2
186,しょうが,しょうが,3,2
187,黒豆,くろまめ,3,1
