食材名,よみがな
りんご,りんご
バナナ,ばなな
レモン,れもん
キャベツ,きゃべつ
なす,なす
ピーマン,ぴーまん
レタス,れたす
きゅうり,きゅうり
ブロッコリー,ぶろっこりー
トマト,とまと
ミニトマト,みにとまと
しいたけ,しいたけ
しめじ,しめじ
えのき,えのき
エリンギ,えりんぎ
ほうれんそう,ほうれんそう
こまつな,こまつな
みずな,みずな
はくさい,はくさい
白ねぎ,しろねぎ
だいこん,だいこん
たまねぎ,たまねぎ
にんじん,にんじん
じゃがいも,じゃがいも
さといも,さといも
かぼちゃ,かぼちゃ
ごぼう,ごぼう
れんこん,れんこん
もやし,もやし
たけのこ水煮,たけのこみずに
鶏もも肉,とりももにく
鶏むね肉,とりむねにく
鶏ささみ,とりささみ
手羽先,てばさき
手羽もと,てばもと
鶏ミンチ,とりみんち
豚こま肉,ぶたこまにく
豚バラ肉,ぶたばらにく
豚ロース,ぶたろーす
豚ミンチ,ぶたみんち
牛こま肉,うしこまにく
合挽ミンチ,あいびきみんち
すじ肉,すじにく
餃子の皮,ぎょうざのかわ
春巻きの皮,はるまきのかわ
さしみ,さしみ
まぐろ,まぐろ
さけ,さけ
ぶり,ぶり
あじ,あじ
さば,さば
あさり,あさり
たらこ・めんたいこ,たらこ・めんたいこ
干物,ひもの
生わかめ,せいわかめ
ハム,はむ
ウインナー,ういんなー
ベーコン,べーこん
小麦粉,こむぎこ
片栗粉,かたくりこ
お好み焼き粉,おこのみやきこ
たこ焼き粉,たこやきこ
海苔,のり
ツナ缶,つなかん
ごま,ごま
ひじき,ひじき
パン粉,ぱんこ
かつおぶし,かつおぶし
カレー粉,かれーこ
クリームシチュー,くりーむしちゅー
パスタ,ぱすた
パスタソース,ぱすたそーす
グラタンソース,ぐらたんそーす
乾麺,かんめん
醤油,しょうゆ
みりん,みりん
料理酒,りょうりしゅ
酢,す
みそ,みそ
マヨネーズ,まよねーず
ケチャップ,けちゃっぷ
ソース,そーす
焼き肉のたれ,やきにくのたれ
砂糖,さとう
塩,しお
こしょう,こしょう
サラダ油,さらだあぶら
ごま油,ごまあぶら
豆腐,とうふ
うす揚げ,うすあげ
厚揚げ,あつあげ
納豆,なっとう
こんにゃく,こんにゃく
ちくわ,ちくわ
かまぼこ,かまぼこ
かにかま,かにかま
たくあん,たくあん
キムチ,きむち
佃煮,つくだに
うどん,うどん
和そば,わそば
焼きそば,やきそば
中華めん,ちゅうかめん
冷やし中華めん,ひやしちゅうかめん
ピザ,ぴざ
卵,たまご
牛乳,ぎゅうにゅう
チーズ,ちーず
バター,ばたー
マーガリン,まーがりん
ヨーグルト,よーぐると
米,こめ
餅,もち
パックごはん,ぱっくごはん
食パン,しょくぱん
ロールパン,ろーるぱん
菓子パン,かしぱん
冷凍シーフードミックス,れいとうしーふーどみっくす
冷凍ほうれん草,れいとうほうれんそう
冷凍ブロッコリー,れいとうぶろっこりー
冷凍えだまめ,れいとうえだまめ
冷凍コーン,れいとうこーん
冷凍ミックスベジタブル,れいとうみっくすべじたぶる
冷凍うどん,れいとううどん
冷凍餃子,れいとうぎょうざ
冷凍唐揚げ,れいとうからあげ
冷凍コロッケ,れいとうころっけ
冷凍チャーハン,れいとうちゃーはん
冷凍パスタ,れいとうぱすた
ジャム,じゃむ
ビール,びーる
チューハイ,ちゅーはい
ワイン,わいん
調理用アルミホイル,ちょうりようあるみほいる
ラップ,らっぷ
キッチンペーパー,きっちんぺーぱー
乾電池,かんでんち
